epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,97.7352,1.19232,2.5967,0.28029,0.74207,1.22632,0.98698,0.95929,0.98806,0.68116,0.98698,0.95929,0.98806,0.62147,1.15761,1.27569,0.08398,0.6005,1.0928,0.0018284,0.0018284,0.0018284
28,101.479,1.16676,2.56451,0.27139,0.72865,1.20497,0.95949,0.97468,0.98336,0.68271,0.95949,0.97468,0.97701,0.62215,1.148,1.3092,0.07396,0.80407,1.08876,0.0018218,0.0018218,0.0018218
29,105.329,1.21367,2.65778,0.27409,0.76633,1.23962,0.94981,0.89873,0.96682,0.64138,0.94981,0.89873,0.97629,0.63537,1.15433,1.34001,0.0753,0.67472,1.17808,0.0018152,0.0018152,0.0018152
30,108.676,1.15323,2.42323,0.26398,0.73309,1.20944,0.98233,0.97468,0.98717,0.62016,0.9689,0.96203,0.97373,0.62741,1.34251,1.28401,0.07682,0.94364,1.1559,0.0018086,0.0018086,0.0018086
31,112.018,1.14746,2.48453,0.26733,0.73587,1.19291,0.98292,0.94937,0.98344,0.71375,0.9693,0.93671,0.96334,0.60549,1.02009,1.34898,0.10164,0.60328,1.0347,0.001802,0.001802,0.001802
32,115.842,1.16653,2.55475,0.2592,0.74679,1.21739,0.98482,0.97468,0.99086,0.64451,0.98482,0.97468,0.99086,0.66469,1.30598,1.26891,0.07756,0.56096,1.14492,0.0017954,0.0017954,0.0017954
33,119.306,1.12127,2.5139,0.26677,0.70788,1.19293,0.96333,0.91139,0.98315,0.70425,0.94995,0.89873,0.96655,0.66068,1.05647,1.2771,0.06889,0.57715,1.05552,0.0017888,0.0017888,0.0017888
34,122.529,1.09553,2.47979,0.24725,0.66806,1.1662,0.98305,0.92405,0.97967,0.65476,0.92511,0.96203,0.97963,0.61419,1.16643,1.34503,0.08963,0.67879,1.11397,0.0017822,0.0017822,0.0017822
35,126.364,1.09686,2.46998,0.26031,0.70054,1.17258,0.96514,0.96203,0.9849,0.63934,0.97407,0.95114,0.98515,0.65746,1.18501,1.27108,0.0703,0.59765,1.0964,0.0017756,0.0017756,0.0017756
36,130.083,1.10669,2.42754,0.24311,0.69765,1.17716,0.97771,0.94937,0.98231,0.66335,0.96468,0.93671,0.97032,0.63011,1.11458,1.31032,0.06263,0.61166,1.0411,0.001769,0.001769,0.001769
