epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,384.748,1.72827,2.82005,0.2095,1.08823,1.73435,0.86504,0.82581,0.89673,0.27596,0.8153,0.82581,0.86562,0.44867,2.42101,1.99366,0.03297,1.15103,1.80596,0.001838,0.001838,0.001838
29,397.505,1.7485,2.74825,0.21562,1.09157,1.73744,0.70369,0.81206,0.7769,0.23737,0.70904,0.83326,0.83978,0.46695,2.37138,1.87152,0.03136,1.16853,1.74988,0.001832,0.001832,0.001832
30,412.659,1.75884,2.74161,0.21818,1.11573,1.72463,0.83781,0.86651,0.92084,0.36841,0.81939,0.84881,0.89532,0.48233,2.01191,1.94843,0.03205,1.6907,1.56809,0.001826,0.001826,0.001826
31,425.923,1.73166,2.68252,0.21247,1.10875,1.69763,0.74348,0.85161,0.81704,0.26902,0.74912,0.85806,0.83839,0.45926,2.14888,1.81739,0.0361,1.10289,1.64165,0.00182,0.00182,0.00182
32,438.21,1.69889,2.7253,0.2179,1.13151,1.7095,0.84388,0.87183,0.92361,0.29591,0.84978,0.91243,0.93682,0.5318,2.33659,1.74069,0.03043,0.935,1.7264,0.001814,0.001814,0.001814
33,452.414,1.70242,2.64944,0.21168,1.07327,1.6795,0.85694,0.87742,0.92453,0.30351,0.84383,0.85161,0.87733,0.5081,2.36041,1.7687,0.02679,1.13669,1.78324,0.001808,0.001808,0.001808
34,468.152,1.68761,2.66788,0.21317,1.1007,1.67035,0.80963,0.9055,0.92274,0.37267,0.8154,0.91195,0.92015,0.51561,2.07867,1.73137,0.03389,0.92196,1.57359,0.001802,0.001802,0.001802
35,479.51,1.68214,2.67915,0.19576,1.05408,1.68851,0.87621,0.85806,0.92646,0.38713,0.86963,0.85161,0.91803,0.51935,2.01319,1.72179,0.02938,1.03817,1.54026,0.001796,0.001796,0.001796
36,492.797,1.68691,2.65802,0.20835,1.06912,1.68305,0.84309,0.89677,0.9309,0.33157,0.82489,0.87742,0.90635,0.52291,2.14059,1.74412,0.03097,1.04948,1.61599,0.00179,0.00179,0.00179
37,503.758,1.69655,2.6989,0.20865,1.0484,1.68649,0.76548,0.84232,0.86258,0.28738,0.75375,0.82942,0.84915,0.47815,2.14685,1.74013,0.03395,1.12801,1.63587,0.001784,0.001784,0.001784
38,520.929,1.66241,2.56848,0.19431,1.04387,1.6703,0.8682,0.87742,0.92952,0.28789,0.86323,0.87097,0.92028,0.52269,2.28201,1.72812,0.02594,1.29872,1.75867,0.001778,0.001778,0.001778
39,532.64,1.65413,2.582,0.20273,1.07504,1.70132,0.78262,0.88265,0.8578,0.29687,0.76289,0.87182,0.82908,0.44209,2.19021,1.95065,0.03016,1.1533,1.72472,0.001772,0.001772,0.001772
40,545.159,1.67847,2.66353,0.18747,1.04908,1.68312,0.83688,0.89373,0.92502,0.28843,0.82854,0.86452,0.89019,0.53907,2.24276,1.66778,0.02507,1.22434,1.71794,0.001766,0.001766,0.001766
41,557.917,1.69099,2.65626,0.20495,1.06482,1.70428,0.81334,0.87149,0.89756,0.2812,0.81305,0.89786,0.90652,0.48811,2.28423,1.79219,0.02176,1.56656,1.753,0.00176,0.00176,0.00176
42,574.479,1.65083,2.53949,0.19139,1.01582,1.65876,0.82836,0.90298,0.9198,0.4141,0.8083,0.88387,0.88113,0.51773,1.87702,1.59611,0.03494,1.04767,1.47824,0.001754,0.001754,0.001754
43,587.399,1.64931,2.49618,0.19154,1.01679,1.65191,0.85797,0.8574,0.90759,0.31001,0.80891,0.90128,0.89361,0.52057,2.21316,1.65798,0.03443,1.03604,1.65655,0.001748,0.001748,0.001748
44,600.78,1.65374,2.61361,0.19165,0.99832,1.63272,0.75473,0.91613,0.85772,0.40806,0.7331,0.89677,0.84337,0.47006,1.77987,1.66333,0.02782,1.06175,1.43485,0.001742,0.001742,0.001742
45,613.472,1.63693,2.65087,0.18543,1.01352,1.61056,0.85783,0.89534,0.93189,0.40015,0.85783,0.89534,0.93189,0.52758,1.95262,1.64144,0.0271,1.0832,1.51834,0.001736,0.001736,0.001736
