epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,270.659,0.90892,1.83855,0.22807,0.59491,1.18541,0.84614,0.95107,0.96658,0.70986,0.83134,0.93233,0.95112,0.53762,0.9468,1.57372,0.07115,0.63937,1.26117,0.0018284,0.0018284,0.0018284
28,279.735,0.93423,1.79213,0.2179,0.61773,1.1945,0.90965,0.8797,0.95021,0.69265,0.90965,0.8797,0.94613,0.58711,0.88405,1.39463,0.06495,0.72498,1.26141,0.0018218,0.0018218,0.0018218
29,289.104,0.90214,1.7095,0.2304,0.60697,1.18929,0.90963,0.85714,0.94924,0.70541,0.89981,0.84962,0.94252,0.57403,0.8882,1.37354,0.07953,0.65553,1.25736,0.0018152,0.0018152,0.0018152
30,300.988,0.93873,1.71841,0.22409,0.60351,1.20941,0.86699,0.90977,0.92594,0.675,0.87273,0.90977,0.92066,0.55843,0.8735,1.33922,0.06878,0.86053,1.23839,0.0018086,0.0018086,0.0018086
31,309.458,0.91172,1.64537,0.20398,0.5935,1.1617,0.86975,0.90374,0.961,0.7345,0.86257,0.89663,0.95311,0.60004,0.846,1.3391,0.06591,0.69918,1.27206,0.001802,0.001802,0.001802
32,318.808,0.91217,1.6768,0.20543,0.58229,1.18468,0.88572,0.8797,0.95669,0.7114,0.87026,0.86466,0.93838,0.54798,0.92631,1.54145,0.06771,0.61482,1.27193,0.0017954,0.0017954,0.0017954
33,329.172,0.87986,1.67467,0.21361,0.5739,1.15032,0.91404,0.91729,0.96013,0.74543,0.90655,0.90977,0.95297,0.63285,0.81545,1.29506,0.06083,0.57162,1.20722,0.0017888,0.0017888,0.0017888
34,340.488,0.9137,1.7265,0.20509,0.58456,1.1879,0.90124,0.91729,0.9563,0.7191,0.87893,0.89474,0.92346,0.6067,0.87712,1.33275,0.06884,0.61099,1.26067,0.0017822,0.0017822,0.0017822
35,349.417,0.84719,1.5996,0.20263,0.55413,1.14284,0.87445,0.93233,0.95915,0.74413,0.8674,0.92481,0.94891,0.61443,0.85804,1.33149,0.07633,0.57135,1.23674,0.0017756,0.0017756,0.0017756
36,358.129,0.86327,1.62085,0.20242,0.56304,1.14688,0.91493,0.88952,0.95845,0.75871,0.89946,0.87448,0.93971,0.6176,0.84497,1.36168,0.08935,0.61889,1.24729,0.001769,0.001769,0.001769
37,366.754,0.89373,1.61055,0.19929,0.55784,1.14402,0.88352,0.8555,0.9303,0.72471,0.87576,0.84798,0.92035,0.60756,0.81111,1.31061,0.06206,0.65933,1.18085,0.0017624,0.0017624,0.0017624
38,378.856,0.83133,1.56087,0.20319,0.55116,1.12233,0.93016,0.89474,0.97145,0.77801,0.90664,0.8797,0.94863,0.63978,0.76331,1.241,0.06358,0.53716,1.16498,0.0017558,0.0017558,0.0017558
39,387.786,0.8461,1.54561,0.19466,0.54562,1.13275,0.92355,0.90977,0.97283,0.74831,0.9049,0.89474,0.95566,0.63761,0.80711,1.24489,0.06133,0.56185,1.21229,0.0017492,0.0017492,0.0017492
40,397.201,0.82184,1.63628,0.21057,0.54056,1.13863,0.88107,0.94694,0.96824,0.76298,0.8901,0.91343,0.95507,0.59528,0.8074,1.35526,0.05475,0.56733,1.18308,0.0017426,0.0017426,0.0017426
41,406.368,0.81632,1.56716,0.20303,0.52124,1.1333,0.90167,0.92481,0.95005,0.76173,0.88682,0.90977,0.9389,0.64009,0.78149,1.26551,0.06588,0.54475,1.18166,0.001736,0.001736,0.001736
42,417.518,0.79673,1.48945,0.19462,0.50704,1.11419,0.93454,0.90226,0.96076,0.75298,0.92557,0.89474,0.95252,0.62307,0.82642,1.32622,0.07384,0.54726,1.2439,0.0017294,0.0017294,0.0017294
43,427.07,0.84635,1.56619,0.19024,0.55063,1.12531,0.94506,0.90534,0.97522,0.75342,0.92151,0.88278,0.94818,0.63162,0.81838,1.30504,0.05832,0.52548,1.17701,0.0017228,0.0017228,0.0017228
44,436.724,0.79317,1.55392,0.19063,0.53724,1.09874,0.88605,0.93549,0.96013,0.77444,0.87897,0.9283,0.95432,0.65061,0.7525,1.22211,0.05191,0.50655,1.14991,0.0017162,0.0017162,0.0017162
45,444.341,0.7752,1.43258,0.19212,0.51526,1.10494,0.88658,0.92481,0.96657,0.73531,0.89452,0.95643,0.97011,0.63435,0.84146,1.24388,0.05965,0.51017,1.19996,0.0017096,0.0017096,0.0017096
46,456.178,0.81909,1.55697,0.18268,0.52957,1.09944,0.91969,0.93233,0.97146,0.73991,0.91384,0.95697,0.97666,0.66416,0.82997,1.16363,0.05025,0.5236,1.22243,0.001703,0.001703,0.001703
47,465.894,0.80673,1.45407,0.1844,0.50255,1.0948,0.95341,0.93233,0.97894,0.77742,0.95341,0.93233,0.97894,0.67399,0.75354,1.18201,0.06546,0.49585,1.14126,0.0016964,0.0016964,0.0016964
48,474.132,0.81959,1.47442,0.17712,0.52133,1.09393,0.91819,0.92832,0.97166,0.73927,0.87761,0.96241,0.96424,0.65095,0.81326,1.19633,0.06076,0.50795,1.19186,0.0016898,0.0016898,0.0016898
49,483.881,0.81649,1.4922,0.18569,0.53035,1.116,0.92695,0.90226,0.96326,0.78432,0.91923,0.89474,0.96319,0.68061,0.74162,1.14722,0.05413,0.52046,1.15388,0.0016832,0.0016832,0.0016832
50,494.941,0.76946,1.43512,0.18261,0.51338,1.08728,0.87859,0.92499,0.96022,0.77847,0.8726,0.92696,0.94433,0.64973,0.73845,1.21628,0.05633,0.50874,1.14596,0.0016766,0.0016766,0.0016766
51,504.284,0.77715,1.43599,0.17209,0.50387,1.08063,0.91091,0.92254,0.96139,0.75096,0.87256,0.92666,0.94349,0.65244,0.76937,1.18499,0.05426,0.55852,1.13914,0.00167,0.00167,0.00167
52,513.465,0.79852,1.46898,0.18353,0.52602,1.10173,0.90057,0.95339,0.97228,0.7654,0.89347,0.94587,0.96546,0.66228,0.73257,1.18823,0.05096,0.55175,1.12186,0.0016634,0.0016634,0.0016634
53,523.744,0.80207,1.36207,0.18522,0.51453,1.09435,0.87269,0.92481,0.9512,0.72689,0.87345,0.91729,0.9486,0.66261,0.82759,1.14755,0.0476,0.56808,1.17519,0.0016568,0.0016568,0.0016568
54,534.051,0.77462,1.41493,0.17786,0.50309,1.08961,0.92174,0.89474,0.96621,0.77213,0.92174,0.89474,0.96621,0.6644,0.7526,1.17487,0.05791,0.56884,1.13262,0.0016502,0.0016502,0.0016502
55,542.48,0.77207,1.43024,0.18535,0.51357,1.08226,0.92331,0.93233,0.96947,0.76904,0.92331,0.93233,0.97083,0.67336,0.74383,1.13754,0.0656,0.52002,1.13635,0.0016436,0.0016436,0.0016436
56,550.746,0.74142,1.3584,0.17984,0.49198,1.07183,0.89411,0.93233,0.95534,0.75165,0.90949,0.94737,0.97285,0.65228,0.77335,1.1635,0.04914,0.55586,1.17102,0.001637,0.001637,0.001637
57,560.241,0.77551,1.40256,0.17915,0.50414,1.07784,0.93713,0.91729,0.97346,0.77667,0.93713,0.91729,0.97455,0.68499,0.74577,1.11895,0.06443,0.48203,1.14021,0.0016304,0.0016304,0.0016304
58,572.116,0.73732,1.37536,0.18211,0.48841,1.07487,0.93243,0.93382,0.97724,0.78298,0.92492,0.92631,0.96713,0.69009,0.72718,1.12208,0.04846,0.48637,1.12153,0.0016238,0.0016238,0.0016238
59,580.804,0.74288,1.35187,0.17328,0.48979,1.07318,0.90621,0.94441,0.9682,0.77054,0.90621,0.94441,0.9682,0.68019,0.75496,1.17675,0.05862,0.51178,1.16892,0.0016172,0.0016172,0.0016172
60,588.607,0.75357,1.38813,0.18464,0.50421,1.07683,0.90893,0.95489,0.97797,0.77969,0.91288,0.93233,0.97578,0.69113,0.73399,1.13272,0.05419,0.47795,1.13908,0.0016106,0.0016106,0.0016106
61,597.223,0.72955,1.31386,0.16904,0.47926,1.05491,0.89693,0.91607,0.93659,0.75223,0.89693,0.91607,0.94437,0.64946,0.71211,1.15785,0.04808,0.51601,1.10972,0.001604,0.001604,0.001604
62,608.873,0.75488,1.38513,0.17869,0.48803,1.07153,0.88884,0.96194,0.96767,0.77608,0.89579,0.96946,0.97663,0.67923,0.75204,1.10507,0.05568,0.48068,1.13469,0.0015974,0.0015974,0.0015974
63,618.708,0.73613,1.32854,0.16914,0.47043,1.08425,0.92482,0.93985,0.97179,0.77383,0.92482,0.93985,0.97179,0.69594,0.7023,1.0841,0.05662,0.47818,1.12871,0.0015908,0.0015908,0.0015908
64,628.858,0.74673,1.29635,0.1786,0.46504,1.06354,0.90662,0.94904,0.97513,0.78557,0.93096,0.9125,0.9638,0.69102,0.71733,1.12207,0.05073,0.46548,1.1181,0.0015842,0.0015842,0.0015842
65,637.942,0.73241,1.26567,0.16408,0.47744,1.06372,0.88044,0.95489,0.96505,0.78236,0.87351,0.94737,0.95864,0.68355,0.70722,1.14603,0.04661,0.47199,1.12717,0.0015776,0.0015776,0.0015776
66,648.857,0.73113,1.26186,0.16251,0.46898,1.05748,0.86762,0.94737,0.958,0.76698,0.89006,0.93233,0.94603,0.66814,0.72309,1.09691,0.04072,0.57152,1.11198,0.001571,0.001571,0.001571
67,657.774,0.71715,1.30884,0.17815,0.47701,1.06379,0.92656,0.94868,0.9816,0.78214,0.91924,0.9414,0.97927,0.67748,0.71809,1.13674,0.04886,0.45285,1.13095,0.0015644,0.0015644,0.0015644
68,666.273,0.72105,1.30956,0.15933,0.47421,1.06164,0.89761,0.92284,0.95928,0.76671,0.85327,0.96189,0.95728,0.63263,0.73702,1.22564,0.04023,0.48554,1.13921,0.0015578,0.0015578,0.0015578
69,675.439,0.71877,1.32162,0.16248,0.47107,1.05601,0.87517,0.93985,0.9704,0.78136,0.85329,0.91729,0.94964,0.66442,0.73949,1.17407,0.04331,0.53016,1.12366,0.0015512,0.0015512,0.0015512
70,686.62,0.72456,1.24368,0.16649,0.47028,1.04926,0.94702,0.90226,0.96481,0.79354,0.93828,0.89474,0.96209,0.68952,0.70691,1.11461,0.0448,0.49588,1.10359,0.0015446,0.0015446,0.0015446
71,694.65,0.70361,1.28648,0.19062,0.46977,1.06176,0.91188,0.93985,0.97448,0.78953,0.89729,0.92481,0.95043,0.692,0.72858,1.12227,0.04582,0.47484,1.13286,0.001538,0.001538,0.001538
72,704.021,0.70097,1.26035,0.1652,0.46002,1.05079,0.88597,0.94737,0.9768,0.79311,0.87894,0.93985,0.96917,0.68673,0.69053,1.09675,0.044,0.5262,1.1074,0.0015314,0.0015314,0.0015314
73,713.98,0.72099,1.28536,0.17485,0.46213,1.06037,0.95386,0.93263,0.98056,0.79321,0.94617,0.92511,0.97349,0.68982,0.71043,1.10083,0.04855,0.45197,1.13819,0.0015248,0.0015248,0.0015248
74,723.622,0.71281,1.25044,0.16346,0.48319,1.06093,0.9327,0.95489,0.97942,0.78512,0.9327,0.95489,0.97942,0.69192,0.76424,1.11534,0.04504,0.47621,1.17957,0.0015182,0.0015182,0.0015182
75,732.631,0.70086,1.20521,0.15796,0.462,1.03931,0.92101,0.94737,0.98085,0.76977,0.92101,0.94737,0.98085,0.68547,0.75761,1.09694,0.03941,0.48746,1.14132,0.0015116,0.0015116,0.0015116
76,741.176,0.69428,1.19014,0.1622,0.46176,1.03547,0.89314,0.94269,0.96757,0.77746,0.89314,0.94269,0.96757,0.68956,0.68459,1.06892,0.04194,0.46156,1.11223,0.001505,0.001505,0.001505
77,749.83,0.69355,1.2361,0.16904,0.45824,1.04148,0.90159,0.96434,0.97794,0.78262,0.90159,0.96434,0.97794,0.69201,0.7131,1.05696,0.04662,0.4766,1.12918,0.0014984,0.0014984,0.0014984
78,760.988,0.68053,1.26069,0.16367,0.4422,1.02229,0.93205,0.9282,0.97645,0.79304,0.93205,0.9282,0.97645,0.70509,0.72416,1.06939,0.03495,0.48846,1.14199,0.0014918,0.0014918,0.0014918
79,769.998,0.69181,1.1865,0.15234,0.45825,1.03297,0.89527,0.96241,0.97876,0.78887,0.87427,0.94108,0.9511,0.67496,0.73076,1.14319,0.04399,0.49928,1.13637,0.0014852,0.0014852,0.0014852
80,778.48,0.68254,1.17263,0.15621,0.4418,1.03042,0.89987,0.94599,0.97659,0.79109,0.89272,0.93847,0.97119,0.69382,0.71227,1.07693,0.03582,0.49845,1.12148,0.0014786,0.0014786,0.0014786
81,787.542,0.69866,1.17009,0.15831,0.4665,1.04306,0.89799,0.92664,0.96327,0.78901,0.8907,0.91912,0.95168,0.68783,0.68558,1.11145,0.04143,0.4744,1.12309,0.001472,0.001472,0.001472
82,797.403,0.66522,1.15787,0.15481,0.43788,1.02117,0.91213,0.93664,0.96843,0.79931,0.89749,0.9216,0.9453,0.68449,0.67596,1.08229,0.03141,0.47216,1.09731,0.0014654,0.0014654,0.0014654
83,808.013,0.67144,1.13678,0.15759,0.44248,1.04795,0.9327,0.93782,0.96066,0.7813,0.9327,0.93782,0.96089,0.67029,0.70612,1.13293,0.03805,0.46344,1.10743,0.0014588,0.0014588,0.0014588
84,816.864,0.68054,1.209,0.16093,0.44126,1.03223,0.93934,0.93139,0.97184,0.79936,0.92417,0.91635,0.9554,0.68891,0.70066,1.13066,0.03816,0.48269,1.12287,0.0014522,0.0014522,0.0014522
85,826.037,0.65808,1.13195,0.15786,0.43567,1.02207,0.93396,0.93985,0.97753,0.77579,0.93396,0.93985,0.97753,0.71129,0.71613,1.02652,0.03889,0.45467,1.11451,0.0014456,0.0014456,0.0014456
86,835.653,0.6711,1.1565,0.15831,0.44833,1.03451,0.90845,0.96987,0.97403,0.79486,0.90038,0.96241,0.96961,0.70379,0.70211,1.04587,0.03491,0.49072,1.12657,0.001439,0.001439,0.001439
87,845.273,0.67446,1.137,0.16112,0.44434,1.04342,0.91263,0.96992,0.98314,0.79566,0.91263,0.96992,0.98314,0.70122,0.67894,1.07581,0.03618,0.49172,1.10259,0.0014324,0.0014324,0.0014324
88,854.047,0.6873,1.1559,0.1532,0.4539,1.04268,0.91264,0.93985,0.97481,0.77988,0.90514,0.93263,0.97324,0.6963,0.7083,1.09379,0.03407,0.47086,1.13735,0.0014258,0.0014258,0.0014258
89,862.885,0.66227,1.06153,0.14586,0.43381,1.02023,0.88767,0.95489,0.97239,0.80013,0.88056,0.94737,0.96317,0.70924,0.66483,1.03872,0.03353,0.45531,1.10361,0.0014192,0.0014192,0.0014192
90,874.167,0.65391,1.09424,0.15074,0.42103,1.02504,0.91879,0.93573,0.97315,0.79497,0.91142,0.92834,0.96472,0.70549,0.66111,1.06198,0.04463,0.45665,1.08684,0.0014126,0.0014126,0.0014126
91,883.16,0.67445,1.13754,0.16051,0.42787,1.02616,0.94768,0.9534,0.97866,0.78969,0.94024,0.94631,0.97139,0.69917,0.68435,1.04736,0.03586,0.45739,1.10739,0.001406,0.001406,0.001406
92,891.639,0.6678,1.09994,0.14986,0.41788,1.03141,0.91082,0.92149,0.97073,0.80966,0.91825,0.92901,0.97471,0.72197,0.66066,0.9881,0.03634,0.45967,1.077,0.0013994,0.0013994,0.0013994
93,900.875,0.67048,1.11653,0.14932,0.44362,1.0393,0.89472,0.95848,0.97442,0.78775,0.89472,0.95848,0.97442,0.71192,0.67802,1.04357,0.03883,0.52649,1.12786,0.0013928,0.0013928,0.0013928
94,910.607,0.65756,1.11967,0.15627,0.43322,1.03413,0.91965,0.9466,0.97803,0.78432,0.91234,0.93908,0.97198,0.70002,0.70731,1.06666,0.04607,0.49151,1.11853,0.0013862,0.0013862,0.0013862
95,919.81,0.66199,1.07176,0.15121,0.43097,1.02435,0.92617,0.94321,0.97643,0.79926,0.91879,0.93569,0.97146,0.71418,0.65304,1.01661,0.0467,0.46161,1.09131,0.0013796,0.0013796,0.0013796
96,929.602,0.65433,1.08479,0.1529,0.43141,1.01399,0.94658,0.93261,0.97968,0.82074,0.93132,0.91757,0.96055,0.70379,0.66627,1.08316,0.03006,0.42498,1.08279,0.001373,0.001373,0.001373
97,939.144,0.64046,1.06949,0.14956,0.42195,1.00818,0.94568,0.92481,0.97324,0.80748,0.93799,0.91729,0.96582,0.71126,0.65251,1.03101,0.03336,0.43791,1.08159,0.0013664,0.0013664,0.0013664
98,950.519,0.63651,1.03827,0.14373,0.4152,1.00547,0.93378,0.93985,0.9756,0.79825,0.92585,0.93233,0.96851,0.7131,0.67061,1.04437,0.03226,0.43851,1.10416,0.0013598,0.0013598,0.0013598
99,960.225,0.67003,1.08779,0.14567,0.43191,1.021,0.91691,0.93985,0.97359,0.80028,0.90224,0.92481,0.95674,0.73796,0.66433,1.01112,0.03581,0.45595,1.09776,0.0013532,0.0013532,0.0013532
100,969.049,0.65156,1.07713,0.15563,0.42187,1.02821,0.92682,0.95219,0.97296,0.80106,0.90487,0.92975,0.94746,0.70625,0.63964,1.01798,0.03707,0.46161,1.09313,0.0013466,0.0013466,0.0013466
101,978.46,0.66371,1.06796,0.14916,0.418,1.00784,0.92708,0.95592,0.98299,0.8093,0.9125,0.94088,0.96827,0.71775,0.64087,1.00625,0.0422,0.46108,1.11294,0.00134,0.00134,0.00134
102,987.737,0.6337,1.04882,0.14591,0.41618,1.00164,0.90777,0.96204,0.97813,0.78734,0.90068,0.95453,0.97429,0.71228,0.65056,0.99441,0.03253,0.50901,1.11239,0.0013334,0.0013334,0.0013334
103,998.486,0.65394,1.02995,0.14688,0.42606,1.02209,0.90597,0.94177,0.98257,0.81434,0.90597,0.94177,0.98257,0.73365,0.65011,0.96602,0.03406,0.5066,1.09556,0.0013268,0.0013268,0.0013268
104,1007.44,0.6455,1.04286,0.15205,0.42283,1.01,0.94374,0.93233,0.98018,0.81456,0.94374,0.93233,0.98018,0.72588,0.6412,1.00082,0.03276,0.43534,1.10487,0.0013202,0.0013202,0.0013202
105,1016.7,0.62534,1.03391,0.15066,0.4071,1.01503,0.93838,0.94737,0.97824,0.81304,0.93093,0.93985,0.97381,0.72974,0.65671,0.97203,0.03816,0.42888,1.08887,0.0013136,0.0013136,0.0013136
106,1025.83,0.63778,1.06485,0.14806,0.41916,1.01867,0.94024,0.94639,0.97642,0.81765,0.93277,0.93887,0.97088,0.73758,0.65056,0.96846,0.03269,0.44888,1.11361,0.001307,0.001307,0.001307
107,1037.21,0.64709,0.99441,0.14384,0.40676,1.02238,0.92835,0.93233,0.97698,0.81849,0.92835,0.93233,0.97698,0.72968,0.65533,0.98625,0.0329,0.44719,1.10716,0.0013004,0.0013004,0.0013004
108,1046.37,0.61587,0.96345,0.14125,0.40038,1.00308,0.91202,0.95489,0.97827,0.8031,0.91202,0.95489,0.97827,0.73501,0.64355,0.95647,0.03483,0.46935,1.09497,0.0012938,0.0012938,0.0012938
109,1055.55,0.63927,0.96283,0.14065,0.40778,1.00297,0.91227,0.93985,0.97604,0.79896,0.90372,0.93985,0.97765,0.72427,0.66323,0.99275,0.0347,0.47053,1.10754,0.0012872,0.0012872,0.0012872
110,1064.41,0.61881,0.99411,0.15197,0.40201,1.01793,0.91881,0.96241,0.98293,0.80681,0.91881,0.96241,0.98293,0.73136,0.65027,0.98033,0.03185,0.46453,1.09126,0.0012806,0.0012806,0.0012806
