epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,229.857,1.66458,2.81238,0.20084,1.06595,1.69676,0.84908,0.89677,0.94267,0.4901,0.81912,0.86452,0.89951,0.42351,1.62654,2.04849,0.03542,1.25902,1.35143,0.001838,0.001838,0.001838
29,237.393,1.67465,2.68351,0.20184,1.05682,1.68867,0.83429,0.87742,0.91906,0.42238,0.81438,0.85806,0.89307,0.47263,1.84245,1.74403,0.04012,1.12043,1.48802,0.001832,0.001832,0.001832
30,246.333,1.69363,2.72158,0.21267,1.05156,1.70848,0.73785,0.85806,0.85704,0.4673,0.72085,0.83302,0.79761,0.40362,1.59561,1.83553,0.04989,1.12376,1.34174,0.001826,0.001826,0.001826
31,254.351,1.6555,2.67809,0.20395,1.03861,1.65095,0.78115,0.91613,0.88193,0.37615,0.76322,0.89677,0.84332,0.46356,1.82527,1.67741,0.04971,1.03821,1.48636,0.00182,0.00182,0.00182
32,261.806,1.62096,2.67517,0.20019,1.0743,1.66701,0.83829,0.90302,0.92873,0.43301,0.81438,0.87097,0.88078,0.44345,1.80099,1.80366,0.03649,1.20372,1.43629,0.001814,0.001814,0.001814
33,270.417,1.6316,2.63498,0.19796,1.05169,1.66087,0.87084,0.91353,0.94347,0.39068,0.85854,0.90062,0.92453,0.5023,2.10092,1.74451,0.03059,1.11366,1.60535,0.001808,0.001808,0.001808
34,279.618,1.62012,2.6413,0.20375,1.05133,1.64819,0.81115,0.87097,0.92403,0.40389,0.79107,0.85161,0.9035,0.52196,1.89212,1.71235,0.03183,1.03287,1.48407,0.001802,0.001802,0.001802
35,286.333,1.6296,2.64576,0.18389,1.01427,1.66987,0.86685,0.90323,0.94516,0.56314,0.86293,0.89677,0.93034,0.52102,1.43826,1.83485,0.03693,0.83564,1.28924,0.001796,0.001796,0.001796
36,294.498,1.63328,2.6034,0.20124,1.01564,1.65697,0.84206,0.9287,0.93807,0.46109,0.81849,0.90189,0.90522,0.5069,1.72187,1.75468,0.03394,0.8937,1.40745,0.00179,0.00179,0.00179
37,301.105,1.62923,2.65332,0.19633,1.00381,1.66015,0.82035,0.8838,0.88337,0.4591,0.81436,0.87735,0.8759,0.49101,1.73726,1.67176,0.03785,0.84996,1.40284,0.001784,0.001784,0.001784
38,310.954,1.59031,2.52647,0.18492,0.9864,1.62638,0.85847,0.91613,0.94597,0.42995,0.83741,0.89032,0.90906,0.49914,1.87687,1.71476,0.03393,1.04284,1.46109,0.001778,0.001778,0.001778
39,317.98,1.6111,2.56394,0.19574,1.02403,1.67598,0.85139,0.90323,0.94076,0.43175,0.84882,0.86936,0.89902,0.46906,1.91599,1.87325,0.04399,0.88815,1.5207,0.001772,0.001772,0.001772
40,325.772,1.60632,2.60524,0.17795,0.99013,1.64417,0.84089,0.86452,0.92263,0.34898,0.8283,0.84036,0.89792,0.49902,2.08548,1.74946,0.02782,1.14105,1.62684,0.001766,0.001766,0.001766
41,333.336,1.60935,2.62727,0.19747,1.00171,1.67692,0.77641,0.89032,0.88365,0.34634,0.75593,0.87097,0.86002,0.42061,2.02976,1.83038,0.03964,1.35772,1.56735,0.00176,0.00176,0.00176
42,343.292,1.58702,2.51343,0.18516,0.94016,1.63672,0.81333,0.87097,0.91472,0.41402,0.7902,0.85161,0.87317,0.49898,1.82028,1.64975,0.03435,1.0878,1.45865,0.001754,0.001754,0.001754
43,350.712,1.59236,2.45313,0.18892,0.96871,1.62473,0.779,0.90968,0.88392,0.31476,0.77121,0.90323,0.86949,0.47982,2.23509,1.70232,0.02919,1.39326,1.73714,0.001748,0.001748,0.001748
44,358.289,1.58455,2.58685,0.18133,0.94947,1.60768,0.83342,0.88387,0.91478,0.45373,0.81204,0.83871,0.8658,0.45261,1.75183,1.76425,0.03612,1.05596,1.4091,0.001742,0.001742,0.001742
45,366.073,1.58279,2.60975,0.17444,0.97651,1.59551,0.81234,0.92903,0.94056,0.55229,0.81234,0.92903,0.93748,0.54895,1.54201,1.55537,0.02827,0.79682,1.30627,0.001736,0.001736,0.001736
46,375.351,1.60963,2.52346,0.18543,0.99397,1.63975,0.82506,0.92258,0.92867,0.51458,0.81352,0.90968,0.90012,0.52657,1.55409,1.59884,0.04088,0.87747,1.29774,0.00173,0.00173,0.00173
47,383.182,1.59219,2.49136,0.16924,0.95571,1.61343,0.8873,0.88387,0.95264,0.50657,0.87434,0.87097,0.93746,0.55486,1.64297,1.58994,0.03035,0.88935,1.34588,0.001724,0.001724,0.001724
48,390.819,1.55971,2.51663,0.18492,0.94311,1.61341,0.87063,0.91177,0.96402,0.42208,0.8531,0.89919,0.94127,0.53876,1.94604,1.64936,0.0268,0.97143,1.52006,0.001718,0.001718,0.001718
49,398.899,1.57278,2.48528,0.17332,0.98146,1.60265,0.86836,0.92258,0.96233,0.45105,0.81817,0.90968,0.91491,0.51695,1.82178,1.77,0.02768,0.88076,1.43114,0.001712,0.001712,0.001712
50,407.872,1.57815,2.57165,0.1929,1.00958,1.64014,0.8132,0.86452,0.92152,0.41019,0.81611,0.87097,0.91997,0.51411,1.90944,1.5607,0.03671,0.86488,1.43794,0.001706,0.001706,0.001706
51,415.552,1.58487,2.48206,0.1808,0.98891,1.60137,0.85829,0.92258,0.96192,0.4711,0.85668,0.92258,0.95909,0.55829,1.80781,1.59098,0.03583,0.83861,1.41989,0.0017,0.0017,0.0017
52,422.739,1.55268,2.46839,0.16366,0.94035,1.58898,0.89269,0.89677,0.94984,0.46024,0.89269,0.89677,0.94447,0.56003,1.726,1.55966,0.03359,0.86201,1.42653,0.001694,0.001694,0.001694
53,430.702,1.57237,2.48201,0.17091,0.97137,1.62466,0.82396,0.91613,0.91606,0.46082,0.78393,0.9129,0.8961,0.51495,1.66629,1.60272,0.02592,1.01823,1.36156,0.001688,0.001688,0.001688
54,439.813,1.56079,2.46555,0.17776,0.92617,1.58687,0.87928,0.89288,0.95276,0.52056,0.87301,0.88703,0.9408,0.5572,1.57884,1.56582,0.03139,0.84424,1.31284,0.001682,0.001682,0.001682
55,447.153,1.56892,2.48682,0.16893,0.94166,1.56907,0.88127,0.90984,0.95993,0.43214,0.8929,0.89032,0.94402,0.55648,1.94676,1.57397,0.03137,0.89315,1.50773,0.001676,0.001676,0.001676
56,453.892,1.55974,2.5529,0.17374,0.92421,1.58789,0.84997,0.89032,0.92979,0.47387,0.84381,0.88387,0.91806,0.53022,1.71976,1.60833,0.0293,0.8897,1.38804,0.00167,0.00167,0.00167
57,461.931,1.56027,2.42479,0.17105,0.93564,1.60247,0.84028,0.91643,0.94466,0.50709,0.82845,0.90353,0.93036,0.53462,1.58226,1.60282,0.02779,1.10174,1.32371,0.001664,0.001664,0.001664
58,470.731,1.52576,2.4907,0.18189,0.92515,1.58056,0.80401,0.95281,0.94076,0.40939,0.78768,0.93345,0.91826,0.51364,1.97598,1.62187,0.03209,0.86693,1.51718,0.001658,0.001658,0.001658
