epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,273.633,1.02351,1.88088,0.22073,0.64208,1.29816,0.81103,0.89032,0.90906,0.63467,0.78127,0.85264,0.87358,0.51375,1.11132,1.62809,0.05351,0.73523,1.19028,0.0018284,0.0018284,0.0018284
28,283.308,1.04385,1.86215,0.21877,0.65545,1.29821,0.83983,0.91613,0.946,0.67093,0.88462,0.84088,0.9213,0.56559,1.0577,1.56978,0.05447,0.66683,1.17258,0.0018218,0.0018218,0.0018218
29,292.688,0.99406,1.76392,0.22331,0.63891,1.30644,0.8233,0.89677,0.93519,0.66945,0.78868,0.91613,0.90617,0.56552,1.05958,1.51502,0.04606,0.69751,1.19503,0.0018152,0.0018152,0.0018152
30,304.599,0.99718,1.74264,0.21411,0.63558,1.28054,0.82107,0.88813,0.89762,0.62572,0.78806,0.85806,0.85636,0.50897,1.06596,1.55698,0.04153,1.0746,1.14122,0.0018086,0.0018086,0.0018086
31,313.39,1.01464,1.75003,0.2047,0.65229,1.25929,0.89023,0.90323,0.95238,0.67055,0.87751,0.89032,0.93548,0.55632,1.07004,1.57824,0.03442,0.69231,1.16403,0.001802,0.001802,0.001802
32,323.242,1.01273,1.74839,0.20395,0.63263,1.29526,0.84045,0.88359,0.91922,0.66813,0.82817,0.87069,0.90505,0.58729,1.07135,1.49734,0.04559,0.73453,1.19438,0.0017954,0.0017954,0.0017954
33,333.218,0.99444,1.73632,0.20855,0.61378,1.26135,0.83335,0.89032,0.92073,0.65671,0.82074,0.87742,0.90732,0.54866,1.03123,1.44641,0.03744,0.73424,1.14933,0.0017888,0.0017888,0.0017888
34,344.606,0.98855,1.74977,0.20351,0.6162,1.27747,0.8821,0.90968,0.95582,0.71637,0.88383,0.88348,0.93517,0.59473,0.98353,1.42992,0.04726,0.61634,1.11964,0.0017822,0.0017822,0.0017822
35,353.778,0.93035,1.64314,0.20721,0.60475,1.25449,0.83483,0.92258,0.9357,0.66416,0.7998,0.88387,0.88177,0.51858,1.07769,1.6162,0.04164,0.83553,1.16853,0.0017756,0.0017756,0.0017756
36,362.941,0.96145,1.72681,0.20331,0.6289,1.25497,0.89549,0.92258,0.95753,0.69265,0.86284,0.89032,0.92318,0.60985,1.01755,1.4603,0.04443,0.66268,1.15143,0.001769,0.001769,0.001769
37,373.338,0.93079,1.7038,0.19743,0.59892,1.23715,0.89316,0.90323,0.95568,0.71203,0.88276,0.89032,0.94432,0.60316,0.96317,1.44587,0.03423,0.70376,1.11619,0.0017624,0.0017624,0.0017624
38,383.469,0.93896,1.70127,0.20709,0.59993,1.23947,0.90203,0.88387,0.95457,0.69964,0.87997,0.88387,0.93561,0.59734,0.94006,1.40786,0.03963,0.65476,1.10469,0.0017558,0.0017558,0.0017558
39,394.888,0.89674,1.64114,0.19397,0.5741,1.21955,0.90089,0.87968,0.9557,0.71704,0.90089,0.87968,0.95072,0.64126,1.00176,1.38775,0.03885,0.58605,1.15211,0.0017492,0.0017492,0.0017492
40,404.141,0.93034,1.69262,0.21719,0.60152,1.26411,0.93313,0.76129,0.86658,0.64153,0.91731,0.74839,0.8497,0.54734,0.98455,1.44622,0.05917,1.14804,1.1023,0.0017426,0.0017426,0.0017426
41,413.328,0.91533,1.64293,0.19916,0.57852,1.24523,0.86105,0.87742,0.93982,0.70554,0.85472,0.87097,0.94102,0.60222,1.01762,1.50227,0.07158,0.67118,1.14366,0.001736,0.001736,0.001736
42,424.58,0.88834,1.59605,0.19644,0.55538,1.21624,0.86895,0.91613,0.93859,0.69509,0.86013,0.90968,0.92926,0.54352,0.96824,1.52299,0.03873,0.6686,1.11112,0.0017294,0.0017294,0.0017294
43,434.285,0.90772,1.66665,0.19796,0.5905,1.21815,0.88589,0.92258,0.96406,0.7122,0.87284,0.90968,0.9449,0.60881,0.99596,1.44389,0.0479,0.6246,1.11712,0.0017228,0.0017228,0.0017228
44,444.33,0.85901,1.62381,0.19795,0.57061,1.19042,0.85571,0.91825,0.95859,0.71035,0.85571,0.91825,0.95868,0.63201,0.96243,1.39109,0.04699,0.60362,1.12383,0.0017162,0.0017162,0.0017162
45,452.192,0.87066,1.57245,0.1946,0.56085,1.20865,0.88532,0.89677,0.95438,0.71586,0.88532,0.89677,0.94519,0.63232,0.93813,1.3145,0.0404,0.56693,1.09736,0.0017096,0.0017096,0.0017096
46,464.17,0.86043,1.59144,0.18236,0.54495,1.16966,0.9082,0.89355,0.9615,0.70609,0.90198,0.88387,0.96013,0.64597,0.97427,1.3199,0.03843,0.61048,1.12543,0.001703,0.001703,0.001703
47,474.273,0.85236,1.54144,0.18721,0.52747,1.17334,0.85811,0.90323,0.94873,0.72322,0.85163,0.89677,0.93352,0.60629,0.93907,1.37341,0.03456,0.61918,1.10372,0.0016964,0.0016964,0.0016964
48,482.46,0.88398,1.5733,0.18126,0.56745,1.18102,0.85361,0.93548,0.95213,0.71413,0.83865,0.90539,0.91266,0.59114,0.90402,1.40244,0.03344,0.66588,1.10259,0.0016898,0.0016898,0.0016898
49,492.234,0.8902,1.54484,0.18572,0.56042,1.21019,0.88476,0.89156,0.95782,0.73337,0.88466,0.89073,0.95507,0.65294,0.9212,1.28843,0.03135,0.60115,1.09238,0.0016832,0.0016832,0.0016832
50,503.235,0.82283,1.47184,0.19139,0.5407,1.16459,0.84307,0.92903,0.95156,0.73331,0.84307,0.92903,0.94706,0.63304,0.91179,1.32812,0.04023,0.56195,1.10487,0.0016766,0.0016766,0.0016766
51,513.378,0.83209,1.4825,0.17532,0.5261,1.15839,0.84741,0.92903,0.94098,0.70739,0.82923,0.90968,0.91752,0.59194,0.95754,1.43327,0.03051,0.70757,1.11607,0.00167,0.00167,0.00167
52,521.887,0.85664,1.57374,0.18689,0.55276,1.1736,0.84338,0.90968,0.94977,0.71664,0.84338,0.90968,0.94977,0.63977,0.91444,1.31972,0.04218,0.66988,1.10768,0.0016634,0.0016634,0.0016634
53,531.359,0.85784,1.45184,0.18923,0.54027,1.17883,0.86567,0.94194,0.95963,0.7194,0.84195,0.91613,0.92105,0.58681,0.93366,1.44263,0.03568,0.9068,1.08402,0.0016568,0.0016568,0.0016568
54,541.624,0.84898,1.47661,0.18449,0.53416,1.1691,0.85208,0.94839,0.95914,0.71936,0.85208,0.94839,0.96392,0.64174,0.94075,1.30373,0.04652,0.57944,1.11046,0.0016502,0.0016502,0.0016502
55,552.204,0.84663,1.51701,0.18597,0.55505,1.18335,0.83955,0.94839,0.94648,0.70574,0.83306,0.95484,0.95563,0.63985,0.94136,1.29289,0.03625,0.62572,1.11346,0.0016436,0.0016436,0.0016436
56,561.048,0.81449,1.4608,0.18512,0.53563,1.16389,0.88284,0.92374,0.96504,0.73504,0.87092,0.91414,0.94404,0.63468,0.88322,1.34135,0.03865,0.63339,1.08743,0.001637,0.001637,0.001637
57,569.142,0.84069,1.50082,0.18073,0.53401,1.16276,0.9099,0.91213,0.96805,0.73471,0.9099,0.91213,0.96614,0.63134,0.91801,1.35901,0.03354,0.57062,1.10058,0.0016304,0.0016304,0.0016304
58,579.521,0.80611,1.47387,0.18507,0.5234,1.16373,0.93706,0.89677,0.96667,0.73485,0.93032,0.89032,0.96604,0.66029,0.94803,1.30375,0.02754,0.53942,1.09137,0.0016238,0.0016238,0.0016238
59,590.983,0.8067,1.41881,0.17588,0.52016,1.14575,0.85458,0.91613,0.95285,0.73551,0.85458,0.91613,0.95285,0.6601,0.87709,1.23775,0.03457,0.55716,1.06276,0.0016172,0.0016172,0.0016172
60,600.607,0.79943,1.39092,0.18893,0.52174,1.15195,0.91113,0.92606,0.96533,0.75575,0.91113,0.92606,0.96533,0.67618,0.85207,1.24245,0.038,0.53024,1.06713,0.0016106,0.0016106,0.0016106
61,609.741,0.80834,1.36722,0.17275,0.51597,1.14043,0.85348,0.90194,0.94108,0.72179,0.85364,0.90308,0.94487,0.63987,0.93384,1.30512,0.03767,0.59436,1.11855,0.001604,0.001604,0.001604
62,618.61,0.84261,1.45019,0.1846,0.52432,1.16493,0.89104,0.94969,0.96824,0.75871,0.88504,0.94373,0.95726,0.69133,0.85125,1.22648,0.03643,0.53462,1.07347,0.0015974,0.0015974,0.0015974
63,631.578,0.78655,1.40474,0.17029,0.50293,1.15073,0.89392,0.92903,0.96521,0.76213,0.88354,0.92997,0.96171,0.68872,0.83626,1.21083,0.03684,0.51775,1.05787,0.0015908,0.0015908,0.0015908
