epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,221.166,0.68398,1.60941,0.4938,0.47231,0.92836,0.90934,0.906,0.97032,0.75912,0.89639,0.8931,0.95164,0.63638,0.86144,1.35216,0.30548,0.52414,0.95293,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868
22,231.431,0.68369,1.60946,0.49344,0.47365,0.92585,0.88509,0.92258,0.96515,0.74898,0.8789,0.91613,0.95157,0.63265,0.8633,1.33649,0.29217,0.58564,0.96331,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
23,239.861,0.67556,1.57816,0.47738,0.47364,0.926,0.90439,0.91543,0.95976,0.74986,0.90439,0.91543,0.96126,0.64452,0.82099,1.30617,0.27901,0.57843,0.94973,0.0055644,0.0018548,0.0055644,0.0018548,0.0055644,0.0018548,0.0055644,0.0018548
24,247.925,0.67361,1.51353,0.46515,0.46772,0.92985,0.91048,0.92258,0.96764,0.75883,0.8831,0.89677,0.93118,0.6134,0.82168,1.37681,0.26145,0.57662,0.93101,0.0055446,0.0018482,0.0055446,0.0018482,0.0055446,0.0018482,0.0055446,0.0018482
25,255.818,0.6729,1.50547,0.45743,0.46374,0.91792,0.92784,0.91613,0.97232,0.76882,0.92029,0.90968,0.9603,0.65757,0.83325,1.30446,0.2597,0.51526,0.94487,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
26,266.265,0.66885,1.45821,0.45224,0.46457,0.91348,0.89379,0.923,0.96195,0.74385,0.88131,0.91018,0.94347,0.61298,0.86159,1.422,0.25292,0.55464,0.95816,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835
27,274.756,0.65131,1.48934,0.44457,0.44281,0.91504,0.89945,0.93548,0.96856,0.75488,0.89324,0.92903,0.95598,0.66012,0.84106,1.27838,0.23022,0.55226,0.94588,0.0054852,0.0018284,0.0054852,0.0018284,0.0054852,0.0018284,0.0054852,0.0018284
28,282.857,0.65383,1.42561,0.45196,0.46209,0.91786,0.90639,0.93699,0.97177,0.78249,0.89068,0.96129,0.97398,0.69296,0.80986,1.2245,0.22477,0.48971,0.93821,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
29,291.578,0.64942,1.36294,0.45288,0.44281,0.92559,0.85716,0.96789,0.95677,0.76688,0.85716,0.96789,0.96258,0.68549,0.82683,1.19084,0.2138,0.50792,0.94856,0.0054456,0.0018152,0.0054456,0.0018152,0.0054456,0.0018152,0.0054456,0.0018152
30,301.984,0.66001,1.34381,0.44221,0.44571,0.91996,0.905,0.92194,0.96714,0.7563,0.89234,0.90904,0.94677,0.626,0.81541,1.30753,0.20908,0.52486,0.9382,0.0054258,0.0018086,0.0054258,0.0018086,0.0054258,0.0018086,0.0054258,0.0018086
31,310.734,0.64832,1.34334,0.42028,0.43889,0.90794,0.89199,0.90581,0.96505,0.77205,0.873,0.88696,0.93636,0.67479,0.81327,1.21371,0.19657,0.58074,0.92967,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
32,319.663,0.64422,1.31852,0.42462,0.44594,0.91716,0.91625,0.92258,0.96189,0.77352,0.90381,0.90968,0.9498,0.6787,0.79063,1.21581,0.18457,0.5162,0.94342,0.0053862,0.0017954,0.0053862,0.0017954,0.0053862,0.0017954,0.0053862,0.0017954
33,330.008,0.64054,1.30718,0.4122,0.42663,0.90628,0.92925,0.89032,0.96244,0.77593,0.92252,0.88387,0.95842,0.645,0.80491,1.33747,0.18026,0.56501,0.9363,0.0053664,0.0017888,0.0053664,0.0017888,0.0053664,0.0017888,0.0053664,0.0017888
34,339.753,0.66355,1.35974,0.42809,0.44585,0.92776,0.91001,0.90323,0.96867,0.76507,0.90351,0.89677,0.96408,0.67322,0.75044,1.15474,0.16774,0.54352,0.90491,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
35,347.894,0.61076,1.20861,0.41422,0.4361,0.90378,0.89888,0.91765,0.96829,0.77524,0.89888,0.91765,0.97015,0.69731,0.78111,1.13859,0.16196,0.60754,0.93435,0.0053268,0.0017756,0.0053268,0.0017756,0.0053268,0.0017756,0.0053268,0.0017756
36,355.894,0.64088,1.26145,0.40806,0.43764,0.91326,0.93375,0.90936,0.95798,0.78502,0.92644,0.90323,0.95033,0.674,0.77522,1.20862,0.16519,0.55239,0.92734,0.005307,0.001769,0.005307,0.001769,0.005307,0.001769,0.005307,0.001769
37,364.207,0.63119,1.25259,0.39254,0.43371,0.90897,0.93709,0.90323,0.96791,0.78568,0.9237,0.89032,0.94681,0.68811,0.7677,1.16934,0.15721,0.50406,0.91702,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
