epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,528.835,1.77204,2.94196,0.2258,1.11608,1.80093,0.86932,0.87742,0.92487,0.35432,0.83599,0.84516,0.88113,0.46651,2.11712,1.90728,0.04792,1.0191,1.62894,0.001838,0.001838,0.001838
29,545.073,1.81126,2.81088,0.23064,1.13471,1.83416,0.74727,0.84516,0.84984,0.29198,0.70397,0.8129,0.80671,0.43021,2.19611,1.85467,0.03866,1.27354,1.66384,0.001832,0.001832,0.001832
30,564.332,1.80825,2.85145,0.23564,1.13487,1.8141,0.82125,0.88927,0.90527,0.29964,0.793,0.86507,0.86368,0.45356,2.17983,1.91783,0.04104,1.17892,1.65718,0.001826,0.001826,0.001826
31,582.286,1.77494,2.81846,0.23044,1.13421,1.77259,0.76255,0.82581,0.78244,0.22837,0.77086,0.83226,0.84012,0.43411,2.31457,1.83772,0.03996,1.37687,1.76534,0.00182,0.00182,0.00182
32,597.953,1.73301,2.80965,0.22923,1.13925,1.79012,0.87545,0.86164,0.91493,0.24879,0.86562,0.8312,0.88391,0.4711,2.41546,1.90015,0.03458,1.14773,1.83924,0.001814,0.001814,0.001814
33,616.205,1.73279,2.76315,0.22173,1.10136,1.77881,0.78168,0.84516,0.85721,0.25907,0.80034,0.8017,0.86668,0.47072,2.33983,1.91517,0.03542,1.15711,1.74932,0.001808,0.001808,0.001808
34,637.531,1.73862,2.78482,0.22365,1.1106,1.77109,0.86249,0.89024,0.93573,0.38116,0.84999,0.87734,0.92036,0.50858,2.01048,1.78983,0.03623,0.98359,1.54666,0.001802,0.001802,0.001802
35,652.031,1.74888,2.77291,0.20534,1.0969,1.76944,0.88265,0.87349,0.94656,0.39507,0.85868,0.86245,0.91544,0.51009,1.93671,1.83039,0.03637,1.09181,1.5077,0.001796,0.001796,0.001796
36,669.595,1.72591,2.72009,0.2217,1.09379,1.76094,0.82457,0.82581,0.87456,0.22519,0.8304,0.83226,0.87014,0.46447,2.41606,1.78939,0.03165,1.47633,1.85527,0.00179,0.00179,0.00179
37,683.978,1.74825,2.75601,0.22162,1.07669,1.77946,0.85076,0.77238,0.87446,0.25167,0.82169,0.74327,0.8307,0.44918,2.40693,1.89011,0.03261,1.24372,1.80775,0.001784,0.001784,0.001784
38,706.069,1.71388,2.63292,0.21044,1.05395,1.7647,0.84995,0.87742,0.91291,0.27159,0.84954,0.87742,0.89469,0.49366,2.33208,1.76938,0.02924,1.4784,1.80513,0.001778,0.001778,0.001778
39,721.399,1.71066,2.67636,0.212,1.08404,1.78887,0.73904,0.83871,0.79652,0.27179,0.72845,0.79355,0.74144,0.37505,2.19778,1.896,0.03519,1.12334,1.70967,0.001772,0.001772,0.001772
40,737.936,1.69999,2.72795,0.20126,1.04839,1.75197,0.80211,0.81067,0.83396,0.19916,0.83886,0.85806,0.90134,0.52609,2.62668,1.74766,0.0339,1.40989,1.97572,0.001766,0.001766,0.001766
41,754.689,1.73473,2.71401,0.22285,1.08246,1.80825,0.84484,0.88387,0.93078,0.32148,0.82027,0.86452,0.90268,0.49524,2.17461,1.79269,0.03245,1.33145,1.72711,0.00176,0.00176,0.00176
42,776.1,1.68409,2.58982,0.21153,1.03026,1.73588,0.80347,0.87742,0.86186,0.2622,0.80437,0.90195,0.86818,0.47755,2.2854,1.77611,0.03696,1.26756,1.75425,0.001754,0.001754,0.001754
43,792.056,1.68393,2.53953,0.21116,1.0331,1.72336,0.84971,0.91191,0.92625,0.31507,0.8216,0.89138,0.88555,0.50909,2.24971,1.73393,0.03199,1.07177,1.72388,0.001748,0.001748,0.001748
44,809.159,1.69057,2.71535,0.2124,1.03175,1.70303,0.79432,0.87203,0.90247,0.38964,0.78844,0.86558,0.88459,0.47387,1.90335,1.7225,0.0424,1.2941,1.48122,0.001742,0.001742,0.001742
